Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,Expected Loss (in Rs.)
1478,4.81,21.37,0.0028,1058.98884
1479,12.36,34.35,0.0077,6248.0418
1480,5.24,3.44,0.0073,3693.61312
1481,2.29,33.94,0.0068,1028.68632
1482,8.14,38.12,0.0011,554.0735200000001
1483,16.28,7.75,0.0008,1201.464
1484,4.1,13.27,0.0013,462.2708999999999
1485,19.04,35.15,0.0035,4321.604000000001
1486,17.26,3.5,0.0026,4330.534
1487,23.78,15.52,0.0098,19687.557119999998
1488,12.68,16.31,0.0007,742.83244
1489,0.78,25.6,0.0033,191.5056
1490,16.71,32.31,0.0077,8709.46923
1491,6.51,9.17,0.0011,650.43363
1492,15.84,7.67,0.0004,585.00288
1493,17.47,24.93,0.0067,8786.86843
1494,16.14,11.57,0.004,5709.040800000001
1495,0.3,38.49,0.0025,46.1325
1496,3.3,16.32,0.009,2485.296
1497,15.82,19.0,0.0087,11148.354000000001
1498,18.78,39.4,0.0021,2389.9428000000003
1499,22.25,2.77,0.0054,11682.184500000001
1500,1.35,35.1,0.0003,26.284499999999998
1501,15.39,7.56,0.0038,5406.07608
1502,10.04,1.39,0.0064,6336.28416
1503,1.24,8.59,0.0078,884.11752
1504,2.81,26.95,0.001,205.27049999999997
1505,1.21,10.7,0.0059,637.5127
1506,13.04,31.09,0.0042,3774.0628799999995
1507,19.26,21.41,0.0062,9384.589080000002
1508,10.47,6.82,0.0066,6438.924360000001
1509,4.44,23.95,0.0021,709.0902000000001
1510,1.45,3.02,0.0017,239.05569999999997
1511,7.86,23.8,0.0055,3294.126
1512,13.78,34.11,0.009,8171.6778
1513,11.98,17.67,0.0,0.0
1514,9.05,15.82,0.0038,2894.9502
1515,15.71,10.25,0.0077,10856.78825
1516,2.16,18.76,0.0035,614.1744000000001
1517,20.41,4.84,0.0072,13983.95232
1518,5.58,1.44,0.0077,4234.72896
1519,7.03,4.51,0.0045,3020.8261499999994
1520,16.73,35.99,0.0092,9852.16316
1521,16.4,38.54,0.005,5039.719999999999
1522,24.14,1.01,0.0024,5735.084639999999
1523,6.87,23.9,0.0027,1411.5789000000002
1524,17.19,19.84,0.0046,6338.57184
1525,2.12,7.7,0.0054,1056.6504000000002
1526,1.01,37.94,0.0021,131.62926000000002
1527,11.48,17.81,0.0034,3208.0400799999998
1528,3.1,39.77,0.0056,1045.5928
1529,24.75,39.61,0.0059,8818.449749999998
1530,22.4,11.83,0.0088,17380.0704
1531,10.31,21.57,0.0085,6873.21305
1532,23.17,14.38,0.0046,9125.55084
1533,2.93,4.11,0.0019,533.81963
1534,15.63,25.34,0.007,8168.550599999999
1535,14.7,11.09,0.0086,11240.0022
1536,2.55,23.23,0.0034,665.5958999999999
1537,6.13,26.17,0.0088,3982.6855199999995
1538,21.18,25.89,0.0007,1098.75486
1539,16.25,3.28,0.0088,13830.960000000003
1540,8.69,39.1,0.0066,3492.8585999999996
1541,11.06,28.31,0.0026,2061.5176400000005
1542,9.4,39.71,0.0023,1303.4698
1543,17.3,31.76,0.0015,1770.828
1544,10.13,21.37,0.002,1593.0438000000001
1545,13.1,21.59,0.0079,8114.650900000001
1546,24.26,0.82,0.0053,12752.366039999999
1547,5.64,27.74,0.0003,122.26391999999998
1548,21.6,18.14,0.0088,15559.9488
1549,17.49,4.9,0.0007,1164.3093
1550,9.21,3.5,0.0099,8798.773500000001
1551,10.92,26.01,0.0052,4201.448159999999
1552,2.9,39.19,0.003,529.047
1553,2.61,33.37,0.0026,452.15118
1554,6.97,33.87,0.0085,3917.87185
1555,13.68,4.6,0.0041,5350.7952000000005
1556,19.47,39.77,0.0068,7974.211079999999
1557,8.27,0.61,0.0025,2054.88825
1558,1.22,24.59,0.0056,515.20112
1559,13.27,25.8,0.0092,9058.6328
1560,2.54,13.22,0.0044,969.8532799999999
1561,22.64,25.54,0.0083,13991.927519999997
1562,9.17,26.61,0.0085,5720.3835500000005
1563,12.24,27.66,0.0062,5489.73792
1564,22.01,9.74,0.0085,16886.292100000002
1565,21.43,6.62,0.0021,4202.380139999999
1566,22.2,17.92,0.0017,3097.6991999999996
1567,8.67,29.18,0.0079,4850.674260000001
1568,21.46,13.96,0.0079,14586.705360000002
1569,11.42,8.84,0.0071,7391.435119999999
1570,3.29,37.21,0.0084,1735.26444
1571,24.34,30.47,0.0075,12692.701500000001
1572,0.39,25.16,0.0017,49.618919999999996
1573,18.22,36.23,0.0088,10224.62672
1574,13.81,20.52,0.0096,10537.14048
1575,14.58,8.55,0.009,12000.069000000001
1576,13.97,38.14,0.0087,7518.402540000001
1577,12.41,23.46,0.007,6649.0298
1578,24.34,2.17,0.0085,20240.048700000003
1579,1.56,17.67,0.0075,963.261
1580,15.0,1.29,0.0081,11993.265
1581,22.69,31.45,0.0081,12598.73595
1582,13.99,21.01,0.0007,773.54907
1583,8.75,7.01,0.0054,4393.7775
1584,5.15,1.77,0.0081,4097.66445
1585,13.68,29.32,0.0055,5317.963199999999
1586,15.35,0.36,0.0046,7035.5804
1587,24.04,0.64,0.0097,23169.559680000002
1588,13.4,8.28,0.0061,7497.192800000001
1589,23.44,3.4,0.0014,3170.0256000000004
1590,15.29,9.35,0.0089,12335.742649999998
1591,13.98,6.6,0.0093,12143.307599999998
1592,2.11,39.76,0.0045,571.9787999999999
1593,23.84,16.23,0.0098,19571.352639999997
1594,9.08,2.48,0.0035,3099.1856000000002
1595,21.85,13.59,0.0075,14160.438749999998
1596,13.14,34.85,0.007,5992.497
1597,12.59,35.14,0.0002,163.31748000000002
1598,14.98,3.83,0.0007,1008.43862
1599,18.42,24.94,0.0014,1935.64728
1600,21.41,23.06,0.0099,16308.125460000001
1601,10.12,0.77,0.001,1004.2075999999998
1602,4.15,4.04,0.0057,2269.9338000000002
1603,6.67,38.59,0.0014,573.4465799999999
1604,24.19,34.73,0.0041,6473.413330000001
1605,24.39,17.8,0.0027,5413.1166
1606,13.4,27.85,0.0022,2126.982
1607,16.97,19.61,0.0017,2319.1711099999998
1608,9.05,18.89,0.0091,6679.814050000001
1609,15.81,4.52,0.0008,1207.6310400000002
1610,18.52,3.4,0.0017,3041.3543999999997
1611,18.82,38.36,0.0016,1856.1036800000004
1612,0.69,39.04,0.0058,243.96191999999996
1613,16.81,19.78,0.0053,7147.040459999999
1614,1.19,36.83,0.0098,736.68854
1615,1.54,31.34,0.008,845.8912
1616,20.42,34.62,0.0008,1068.0476800000004
1617,20.8,3.2,0.0028,5637.632
1618,18.86,29.6,0.0034,4514.3296
1619,1.42,4.15,0.0071,966.3597000000001
1620,16.25,25.98,0.0081,9742.8825
1621,5.59,25.68,0.0079,3282.0455200000006
1622,10.1,31.38,0.005,3465.31
1623,2.09,24.29,0.0032,506.34847999999994
1624,6.89,4.81,0.0052,3410.4673199999997
1625,22.06,18.69,0.0019,3408.02734
1626,16.75,30.97,0.0076,8787.519
1627,2.37,0.61,0.0046,1083.54978
1628,19.66,24.6,0.0012,1778.8367999999998
1629,8.24,18.25,0.0096,6466.7519999999995
1630,7.33,7.35,0.009,6112.1205
1631,0.38,14.3,0.0065,211.679
1632,11.13,31.99,0.0098,7418.122740000001
1633,7.72,20.37,0.0038,2336.0256799999997
1634,3.8,17.97,0.0089,2774.2545999999998
1635,7.05,15.73,0.0047,2792.28645
1636,2.27,35.79,0.0032,466.42144
1637,14.49,19.32,0.0012,1402.8638399999998
1638,22.39,11.95,0.0032,6308.6064000000015
1639,12.29,34.63,0.0073,5864.800289999999
1640,8.12,30.48,0.0019,1072.55456
1641,24.38,14.65,0.0046,9571.8318
1642,7.3,20.12,0.0044,2565.7456
1643,10.34,12.71,0.0046,4151.861559999999
1644,19.47,35.21,0.0024,3027.507119999999
1645,5.23,32.13,0.0043,1526.32843
1646,24.77,9.92,0.0019,4239.43504
1647,4.97,4.91,0.0029,1370.53217
1648,13.54,20.19,0.0023,2485.44302
1649,14.93,24.0,0.002,2269.36
1650,9.9,16.69,0.002,1649.538
1651,21.01,37.11,0.0012,1585.58268
1652,3.75,2.57,0.0062,2265.2475000000004
1653,15.01,5.33,0.0051,7247.08317
1654,3.67,13.09,0.0076,2424.09372
1655,24.16,18.6,0.0014,2753.2736
1656,8.66,37.13,0.0065,3538.9523
1657,15.26,34.01,0.0005,503.5037
1658,3.35,39.77,0.0057,1150.09185
1659,0.02,28.19,0.0089,12.78218
1660,3.41,4.41,0.0087,2835.8685299999997
1661,20.68,14.95,0.0084,14774.205599999998
1662,21.8,2.49,0.0056,11904.0208
1663,19.75,17.03,0.0009,1474.7917499999999
1664,20.45,3.43,0.0001,197.48565
1665,8.53,32.96,0.0045,2573.3304
1666,0.07,7.02,0.0083,54.02138000000001
1667,15.91,26.35,0.0005,585.88575
1668,5.94,7.68,0.0019,1041.92352
1669,17.57,5.03,0.0073,12180.947170000001
1670,16.99,23.63,0.0087,11288.478809999999
1671,9.98,34.4,0.0021,1374.8448
1672,11.75,18.26,0.0056,5378.492
1673,7.39,2.58,0.0025,1799.8345
1674,7.09,21.18,0.0012,670.6005600000001
1675,13.64,39.04,0.007,5820.460800000001
1676,15.31,28.62,0.0017,1857.8072599999998
1677,9.35,36.16,0.0012,716.2848
1678,17.33,38.17,0.0013,1392.9680699999997
1679,10.35,30.45,0.0031,2231.5117499999997
1680,12.14,25.21,0.0045,4085.7776999999996
1681,12.49,19.63,0.0021,2108.0247299999996
1682,23.9,11.58,0.0017,3592.5045999999993
1683,18.48,10.32,0.0011,1823.0150400000002
1684,1.56,27.69,0.0076,857.30736
1685,6.04,18.21,0.0,0.0
1686,22.04,25.26,0.0003,494.18088
1687,19.31,23.59,0.0071,10475.88741
1688,7.4,39.15,0.006,2701.7400000000002
1689,7.68,4.46,0.0067,4916.10624
1690,6.53,18.98,0.0003,158.71818
1691,21.03,7.77,0.0027,5236.9116300000005
1692,4.49,24.27,0.0024,816.0664799999998
1693,6.54,2.78,0.005,3179.0939999999996
1694,9.12,38.64,0.0003,167.88095999999996
1695,21.35,15.7,0.0083,14938.3815
1696,3.84,25.61,0.004,1142.6304
1697,13.8,26.25,0.0048,4885.2
1698,24.14,21.23,0.0005,950.7539
1699,14.92,30.56,0.0017,1761.27616
1700,14.32,21.26,0.0075,8456.676
1701,18.32,37.18,0.0055,6329.7432
1702,10.55,22.93,0.005,4065.4425
1703,6.29,8.76,0.0077,4419.02692
1704,22.9,13.68,0.0012,2372.0735999999997
1705,2.39,7.7,0.0017,375.0149
1706,22.49,37.38,0.0085,11970.7523
1707,5.84,39.6,0.0071,2504.4256
1708,17.52,26.17,0.0099,12805.66584
1709,17.62,30.3,0.003,3684.342000000001
1710,6.37,38.91,0.0013,505.88629
1711,22.04,8.01,0.0078,15814.184879999999
1712,15.26,6.74,0.0081,11527.49556
1713,14.36,5.28,0.0029,3944.51968
1714,13.23,31.72,0.0011,993.6788400000003
1715,20.41,39.86,0.0045,5523.558299999999
1716,1.4,30.98,0.0045,434.82599999999985
1717,12.48,1.88,0.0095,11633.107199999999
1718,16.99,27.49,0.0051,6282.918990000001
1719,1.55,13.65,0.0058,776.2864999999999
1720,5.99,32.01,0.0026,1058.87626
1721,18.62,1.42,0.0042,7709.35032
1722,21.88,29.03,0.0058,9006.376879999998
1723,23.59,13.98,0.0048,9740.216639999999
1724,21.4,22.02,0.0068,11347.649599999999
1725,11.63,37.85,0.0067,4842.79015
1726,12.41,0.62,0.0054,6659.85132
1727,10.42,39.74,0.0083,5211.64636
1728,5.08,18.96,0.0071,2922.9507200000003
1729,10.44,16.38,0.0087,7595.037359999999
1730,20.92,8.86,0.0042,8007.92496
1731,4.52,19.74,0.0012,435.3302399999999
1732,9.17,37.63,0.0054,3088.4376599999996
1733,15.92,19.47,0.0064,8205.040640000001
1734,0.4,39.45,0.0057,138.054
1735,15.01,13.79,0.0081,10481.49801
1736,10.63,6.77,0.0036,3567.72564
1737,3.32,36.47,0.0091,1919.3683599999997
1738,16.02,34.45,0.0063,6615.699299999999
1739,11.78,7.73,0.0045,4891.2327
1740,15.35,36.14,0.0055,5391.3805
1741,22.95,29.03,0.0027,4397.65605
1742,10.39,31.7,0.0027,1916.0199000000002
1743,10.84,31.02,0.0019,1420.7120799999998
1744,2.66,5.64,0.0044,1104.3894400000001
1745,11.08,31.77,0.0027,2041.1686800000002
1746,16.71,6.95,0.0008,1243.8924
1747,11.7,15.97,0.0043,4227.5493
1748,0.71,4.77,0.0071,480.0544300000001
1749,9.05,3.63,0.0088,7674.906800000002
1750,15.16,5.2,0.0035,5030.088
1751,2.79,22.55,0.0078,1685.4669
1752,23.88,28.09,0.0015,2575.8162
1753,1.33,29.49,0.0064,600.1811200000001
1754,1.27,11.42,0.0075,843.7245000000001
1755,18.9,16.63,0.0081,12763.113299999997
1756,14.84,22.28,0.0085,9803.6008
1757,15.79,25.65,0.0058,6809.1217
1758,8.38,14.24,0.0027,1940.4057600000003
1759,1.4,3.16,0.0097,1315.0872000000002
1760,11.99,14.16,0.002,2058.4432
1761,11.22,0.84,0.009,10013.176800000001
1762,22.42,33.14,0.0005,749.5006000000001
1763,15.29,19.08,0.0011,1360.99348
1764,23.16,23.98,0.0004,704.24928
1765,17.4,7.92,0.0009,1441.9727999999998
1766,0.54,34.81,0.0064,225.29664
1767,20.17,30.39,0.0062,8705.00894
1768,23.3,22.79,0.0045,8095.4685
1769,11.69,11.17,0.0063,6542.06301
1770,22.23,18.05,0.0011,2003.9233500000003
1771,5.45,12.0,0.0009,431.64
1772,12.92,38.68,0.0098,7764.0931199999995
1773,10.48,15.12,0.0092,8183.79008
1774,22.66,23.82,0.0019,3279.8537200000005
1775,18.42,35.77,0.0037,4377.53142
1776,0.33,3.98,0.0013,41.19258
1777,5.3,34.54,0.0004,138.7752
1778,18.79,5.5,0.0088,15625.764000000001
1779,0.63,15.4,0.0019,101.26619999999998
1780,16.12,27.9,0.0024,2789.4048000000003
1781,22.02,35.79,0.0093,13149.309059999998
1782,10.07,12.79,0.0038,3337.17786
1783,11.04,7.34,0.0056,5728.61184
1784,8.55,26.56,0.0006,376.74719999999996
1785,11.39,12.66,0.0077,7659.98002
1786,17.09,32.5,0.0062,7152.165000000001
1787,9.43,4.96,0.0075,6721.703999999999
1788,14.0,23.0,0.0097,10456.6
1789,21.29,24.58,0.0021,3371.9527799999996
1790,6.56,37.29,0.0085,3496.7096
1791,14.23,22.75,0.0069,7584.94575
1792,24.24,16.13,0.0011,2236.30968
1793,9.12,15.54,0.0071,5468.953920000001
1794,12.98,26.27,0.0038,3636.6585200000004
1795,0.27,37.79,0.0092,154.52964
1796,14.7,15.41,0.0018,2238.2513999999996
1797,10.18,6.47,0.0013,1237.7760199999998
1798,8.51,31.23,0.0007,409.66288999999995
1799,5.32,31.6,0.0019,691.3872
1800,4.28,39.09,0.0057,1485.96036
1801,0.12,35.61,0.0037,28.589160000000003
1802,7.71,30.82,0.0006,320.02667999999994
1803,15.41,30.18,0.0072,7746.668639999998
1804,2.19,27.56,0.0021,333.15155999999996
1805,15.73,30.53,0.0091,9944.144210000002
1806,16.64,20.36,0.0053,7023.61088
1807,16.1,21.95,0.0091,11435.105500000001
1808,20.69,9.31,0.0041,7693.142010000002
1809,19.99,35.66,0.0013,1672.0035799999998
1810,14.82,19.49,0.0014,1670.42148
1811,12.55,26.76,0.0039,3584.7317999999996
1812,0.09,30.74,0.0035,21.8169
1813,2.27,4.93,0.002,431.61779999999993
1814,13.41,2.43,0.0021,2747.6687699999998
1815,4.28,24.5,0.0066,2132.724
1816,6.54,13.27,0.0053,3006.23526
1817,5.38,19.08,0.0019,827.1642400000001
1818,13.28,24.87,0.0063,6285.67632
1819,20.65,15.86,0.0036,6254.9676
1820,8.69,36.15,0.0017,943.25605
1821,21.55,7.51,0.0012,2391.7914
1822,21.96,17.11,0.0001,182.02644
1823,13.23,12.65,0.005,5778.202499999999
1824,10.99,16.21,0.0053,4880.51613
1825,21.13,24.77,0.0069,10968.308309999999
1826,1.27,17.57,0.0001,10.46861
1827,9.32,22.62,0.0028,2019.30848
1828,4.09,0.75,0.0055,2232.62875
1829,1.15,30.49,0.002,159.873
1830,7.66,20.38,0.0091,5549.991720000001
1831,5.12,28.36,0.0048,1760.6246399999998
1832,7.95,10.78,0.0086,6099.971399999999
1833,12.49,38.29,0.0005,385.37895000000003
1834,10.68,34.89,0.0047,3268.26156
1835,15.47,25.52,0.0062,7143.67472
1836,13.85,19.83,0.0093,10326.296849999999
1837,5.84,3.07,0.0054,3056.7844800000003
1838,1.91,30.53,0.0061,809.3949700000001
1839,5.39,17.95,0.0096,4245.595199999999
1840,19.63,14.96,0.0046,7678.94192
1841,5.5,9.02,0.0049,2451.9109999999996
1842,2.42,12.57,0.0018,380.84507999999994
1843,5.65,11.15,0.0098,4919.6245
1844,7.92,5.15,0.0067,5033.1204
1845,18.33,25.75,0.0041,5580.110249999999
1846,16.96,6.27,0.0005,794.8304000000002
1847,2.84,9.82,0.0042,1075.6670399999998
1848,12.67,38.24,0.0002,156.49983999999998
1849,24.54,32.79,0.0085,14019.3339
1850,5.38,5.91,0.002,1012.4084
1851,1.1,24.5,0.0092,764.0600000000001
1852,11.49,1.96,0.0013,1464.42348
1853,21.04,37.62,0.0027,3543.68304
1854,16.69,21.72,0.0016,2090.3891200000003
1855,11.62,18.12,0.0067,6374.685519999999
1856,3.89,6.46,0.0026,946.0635599999999
1857,24.28,29.3,0.0055,9441.278
1858,21.96,17.77,0.0003,541.7312400000001
1859,6.3,17.62,0.0042,2179.7747999999997
1860,3.63,13.08,0.0091,2871.22836
1861,6.26,37.5,0.0027,1056.375
1862,20.63,13.81,0.0023,4089.6293100000003
1863,8.36,1.22,0.0096,7927.687679999999
1864,16.68,21.68,0.009,11757.398399999998
1865,20.65,28.85,0.0001,146.92475000000002
1866,12.73,32.27,0.0097,8363.36813
1867,0.35,37.2,0.0074,162.65199999999996
1868,1.23,30.0,0.0097,835.17
1869,23.13,28.03,0.0079,13150.862190000002
1870,8.61,17.51,0.0048,3409.1467199999997
1871,24.71,3.95,0.0013,3085.4141499999996
1872,7.05,4.7,0.0099,6651.4635
1873,2.49,37.6,0.0029,450.5904
1874,14.61,6.06,0.0004,548.98536
1875,0.2,30.36,0.0008,11.1424
1876,19.41,28.96,0.0062,8549.095679999999
1877,18.89,7.36,0.0042,7349.8723199999995
1878,6.24,16.93,0.0026,1347.7276799999997
1879,6.12,7.53,0.0087,4923.47268
1880,21.05,20.89,0.0036,5994.9558
1881,20.56,36.05,0.0021,2761.1051999999995
1882,15.6,0.81,0.0055,8510.501999999999
1883,19.1,28.15,0.0067,9194.6445
1884,21.96,12.67,0.0059,11314.824120000001
1885,17.12,30.68,0.0016,1898.8134400000001
1886,6.4,17.35,0.0076,4020.096
1887,15.99,3.65,0.004,6162.546
1888,1.74,18.0,0.0095,1355.46
1889,16.42,24.59,0.0083,10277.32726
1890,13.15,5.42,0.0013,1616.8451
1891,12.49,20.41,0.0091,9046.119810000002
1892,10.29,9.53,0.0009,837.8426699999999
1893,4.34,3.74,0.0059,2464.83356
1894,15.75,1.19,0.0025,3890.64375
1895,13.95,17.4,0.0031,3572.0370000000003
1896,2.81,13.11,0.0025,610.40225
1897,2.32,23.75,0.0084,1485.9599999999998
1898,4.87,10.33,0.0093,4061.2439700000004
1899,5.5,11.83,0.0049,2376.1814999999997
1900,19.58,17.91,0.0093,14948.096459999999
1901,24.31,13.16,0.0059,12455.374360000002
1902,14.14,24.52,0.0029,3095.13288
1903,4.79,37.96,0.0074,2199.0698400000006
1904,18.27,38.31,0.0092,10369.101959999998
1905,22.67,1.92,0.01,22234.736
1906,10.88,14.75,0.0019,1762.2880000000005
1907,15.05,11.8,0.0065,8628.165
1908,10.22,10.32,0.0069,6324.05424
1909,1.1,20.06,0.0074,650.7116000000001
1910,7.71,10.1,0.0096,6654.0383999999995
1911,21.13,20.91,0.0044,7353.155479999999
1912,8.87,34.4,0.0062,3607.6063999999997
1913,8.14,20.85,0.0098,6313.953800000001
1914,21.09,20.38,0.0039,6548.8246199999985
1915,21.26,37.64,0.0013,1723.50568
1916,22.02,16.63,0.008,14686.459200000001
1917,8.81,24.29,0.0011,733.7056100000001
1918,21.11,36.86,0.0069,9196.909259999999
1919,2.16,22.93,0.0046,765.76752
1920,9.49,3.22,0.0039,3581.9245800000003
1921,22.63,29.58,0.0091,14501.80186
1922,1.02,5.45,0.004,385.764
1923,9.29,27.45,0.0079,5324.51705
1924,6.49,14.83,0.0098,5416.9823400000005
1925,10.36,2.8,0.0069,6948.244799999999
1926,3.49,12.28,0.0093,2847.12804
1927,19.34,36.73,0.0059,7219.48662
1928,9.74,2.89,0.0085,8039.7369
1929,6.94,18.32,0.0003,170.05776
1930,18.65,29.89,0.006,7845.309
1931,3.72,12.86,0.0051,1653.22008
1932,7.57,38.61,0.0065,3020.69495
1933,1.13,0.32,0.0071,799.73264
1934,8.01,8.74,0.0012,877.19112
1935,19.56,26.28,0.0057,8219.190239999998
1936,3.54,36.92,0.0045,1004.8644
1937,2.38,23.23,0.0011,200.98386000000002
1938,16.58,32.62,0.0066,7373.258639999998
1939,14.13,31.25,0.0021,2040.01875
1940,3.98,30.26,0.0001,27.756520000000002
1941,20.96,9.29,0.003,5703.844800000001
1942,24.33,15.56,0.0073,14997.30396
1943,12.46,27.27,0.009,8155.9422
1944,16.71,8.36,0.0089,13628.609160000002
1945,18.98,2.5,0.0012,2220.66
1946,20.42,7.87,0.0046,8653.95516
1947,22.12,39.64,0.0003,400.54895999999997
1948,2.94,13.22,0.0039,995.0194799999999
1949,21.83,2.01,0.0097,20749.480489999998
1950,10.76,20.55,0.0072,6155.1504
1951,17.83,16.5,0.0097,14441.4085
1952,7.23,3.03,0.0051,3575.5748100000005
1953,3.81,11.58,0.0019,640.07238
1954,7.69,20.35,0.0079,4838.817150000001
1955,7.74,31.29,0.0043,2286.80622
1956,6.58,28.53,0.0019,893.5179400000002
1957,2.46,12.82,0.0091,1951.61148
1958,22.25,0.02,0.0027,6006.298500000001
1959,16.01,35.62,0.007,7215.066600000002
1960,21.44,20.68,0.0046,7822.855680000001
1961,5.57,9.18,0.0085,4299.8729
1962,4.87,4.89,0.0064,2964.38848
1963,12.4,32.46,0.0053,4438.728800000001
1964,19.38,37.38,0.0092,11164.895519999998
1965,18.3,7.8,0.0069,11642.094000000001
1966,22.82,38.8,0.0033,4608.7272
1967,2.55,35.23,0.0085,1403.88975
1968,6.03,21.37,0.0045,2133.62505
1969,12.21,18.55,0.0049,4873.07205
1970,10.21,39.04,0.004,2489.6064
1971,24.48,37.56,0.0062,9476.89344
1972,0.55,28.35,0.0082,323.14150000000006
1973,0.09,34.89,0.007,41.01930000000001
1974,19.2,0.62,0.001,1908.0959999999998
1975,10.64,11.09,0.0006,567.60144
1976,4.89,6.52,0.0044,2011.31568
1977,1.87,17.98,0.0076,1165.6682400000002
1978,22.33,16.46,0.0045,8394.5169
1979,21.5,31.99,0.0069,10089.283500000001
1980,23.28,12.83,0.0074,15016.950240000002
1981,10.32,18.61,0.0085,7139.5308
1982,12.49,32.59,0.0021,1768.0968899999996
1983,11.02,22.45,0.0069,5896.746899999999
1984,22.49,31.65,0.0073,11221.497949999999
1985,8.34,3.56,0.0089,7158.35544
1986,19.41,31.49,0.003,3989.3373
1987,15.75,10.9,0.0065,9121.6125
1988,6.34,3.63,0.0052,3177.12616
1989,23.24,29.57,0.0038,6219.814159999999
1990,5.9,19.86,0.0005,236.41300000000004
1991,2.45,8.23,0.0041,921.82965
1992,8.43,5.46,0.0037,2948.79714
1993,22.16,17.13,0.0087,15976.67304
1994,22.89,30.38,0.0034,5418.246119999999
1995,13.91,26.28,0.0011,1127.98972
1996,7.02,23.01,0.0027,1459.26846
1997,11.7,6.65,0.0,0.0
1998,21.24,0.67,0.0097,20464.76124
1999,24.38,32.61,0.009,14786.713799999998
2000,15.39,17.57,0.0099,12559.117230000003
2001,1.94,11.16,0.0044,758.3382399999999
2002,7.93,28.58,0.0062,3511.4357199999995
2003,12.97,9.83,0.0052,6081.42548
2004,8.25,15.94,0.0057,3952.921500000001
2005,8.64,33.83,0.01,5717.088
2006,5.67,2.61,0.0005,276.10065
2007,8.87,18.2,0.0027,1959.0282
2008,17.68,33.91,0.0048,5608.66176
2009,22.92,9.65,0.0074,15324.0828
2010,19.57,20.57,0.0023,3575.22373
2011,10.46,29.33,0.0076,5617.982320000001
2012,7.76,22.9,0.0089,5324.834400000001
2013,4.8,10.9,0.0056,2395.008
2014,20.06,24.38,0.0029,4399.117879999999
2015,4.3,3.53,0.0007,290.37469999999996
2016,17.42,18.84,0.0091,12865.645520000002
2017,3.76,17.98,0.0018,555.11136
2018,8.07,28.52,0.0012,692.21232
2019,1.6,28.24,0.0047,539.6352
2020,7.76,15.12,0.0008,526.93504
2021,2.36,14.99,0.0093,1865.7994799999997
2022,13.37,3.71,0.0027,3475.97271
2023,12.53,4.14,0.0005,600.5629
2024,23.33,6.92,0.0026,5646.046639999999
2025,21.11,14.95,0.0013,2334.02715
2026,15.8,8.89,0.009,12955.842
2027,20.75,24.68,0.0023,3594.6469999999995
2028,14.7,31.26,0.0084,8488.0152
2029,4.2,32.55,0.003,849.8700000000001
2030,7.32,9.73,0.0032,2114.4844800000005
2031,9.86,17.71,0.0006,486.82764
2032,19.24,31.41,0.0043,5674.58788
2033,0.08,35.96,0.0024,12.295679999999997
2034,1.19,28.94,0.0032,270.59648000000004
2035,1.58,4.65,0.0027,406.76310000000007
2036,23.19,4.42,0.006,13299.001200000002
2037,11.3,13.83,0.0064,6231.814400000001
2038,8.98,28.95,0.0095,6061.2755
2039,22.21,30.34,0.0037,5724.44982
2040,21.95,14.03,0.0077,14530.219550000002
2041,14.28,36.17,0.0019,1731.8355599999998
2042,16.4,7.81,0.0003,453.5747999999999
2043,15.22,1.67,0.0003,448.97478
2044,5.64,25.3,0.0097,4086.6875999999997
2045,24.02,28.54,0.0029,4977.76068
2046,7.21,19.0,0.0002,116.802
2047,9.86,29.55,0.0094,6529.5878
2048,23.33,31.66,0.01,15943.722
2049,23.5,2.79,0.0037,8452.4095
2050,6.52,6.42,0.0037,2257.52392
2051,6.71,26.36,0.0085,4200.0574
2052,7.18,15.93,0.0003,181.08677999999998
2053,19.55,3.09,0.0084,15914.5602
2054,14.05,6.68,0.0004,524.4584000000001
2055,9.05,4.17,0.0023,1994.7014500000002
2056,18.51,30.03,0.001,1295.1447
2057,1.78,15.49,0.0027,406.15506
2058,13.82,26.23,0.0085,8665.761900000001
2059,19.81,37.27,0.0077,9568.64601
2060,24.57,22.16,0.0013,2486.28744
2061,11.16,26.38,0.0017,1396.71864
2062,17.82,17.39,0.0064,9421.505280000001
2063,5.77,8.8,0.0053,2788.9872
2064,20.33,24.92,0.0054,8242.43256
2065,12.44,27.54,0.0098,8833.74352
2066,21.01,34.77,0.0046,6304.218580000002
2067,23.81,28.66,0.006,10191.632399999999
2068,22.0,29.82,0.0033,5095.068
2069,14.4,16.32,0.0021,2530.4832
2070,5.08,17.75,0.0074,3091.942
2071,4.41,5.65,0.0055,2288.45925
2072,1.35,23.45,0.0017,175.68225000000004
2073,20.38,13.3,0.0002,353.38919999999996
2074,10.84,17.08,0.0011,988.7380800000002
2075,9.43,33.54,0.0018,1128.0920400000002
2076,18.25,12.1,0.0076,12191.73
2077,7.64,0.58,0.0084,6380.377919999999
2078,7.21,33.28,0.0046,2212.83552
2079,2.15,18.68,0.0006,104.9028
2080,13.65,3.9,0.0031,4066.4714999999997
2081,3.82,4.35,0.0086,3142.2938
2082,5.13,0.87,0.0071,3610.6119900000003
2083,12.51,28.25,0.0028,2513.259
2084,0.62,39.47,0.0074,277.71164
2085,21.14,26.05,0.0043,6722.2029
2086,8.55,14.29,0.0038,2784.7179
